timestamp,open,high,low,close,volume
2026-03-24 23:40:00+00:00,2162.25,2162.85,2162.2,2162.24,13733.81
2026-03-24 23:41:00+00:00,2162.24,2162.25,2160.23,2160.98,9980.16
2026-03-24 23:42:00+00:00,2160.98,2161.76,2160.66,2161.32,10119.68
2026-03-24 23:43:00+00:00,2161.32,2161.33,2158.89,2159.15,20088.55
2026-03-24 23:44:00+00:00,2159.15,2160.16,2159.15,2159.57,11546.24
2026-03-24 23:45:00+00:00,2159.56,2160.0,2158.24,2158.34,12770.61
2026-03-24 23:46:00+00:00,2158.34,2158.68,2156.82,2157.02,18292.73
2026-03-24 23:47:00+00:00,2157.02,2157.47,2155.3,2156.25,33217.85
2026-03-24 23:48:00+00:00,2156.25,2156.64,2155.8,2156.55,10074.59
2026-03-24 23:49:00+00:00,2156.56,2157.59,2156.56,2157.48,15636.05
2026-03-24 23:50:00+00:00,2157.49,2157.58,2157.17,2157.48,8596.25
2026-03-24 23:51:00+00:00,2157.48,2159.46,2157.47,2159.46,18000.84
2026-03-24 23:52:00+00:00,2159.46,2160.22,2156.81,2156.81,14448.04
2026-03-24 23:53:00+00:00,2156.81,2157.8,2156.81,2157.36,4516.07
2026-03-24 23:54:00+00:00,2157.36,2157.36,2156.5,2157.0,5614.97
2026-03-24 23:55:00+00:00,2157.0,2157.14,2156.59,2157.0,8016.19
2026-03-24 23:56:00+00:00,2157.0,2157.0,2155.23,2155.3,8030.86
2026-03-24 23:57:00+00:00,2155.3,2155.93,2155.26,2155.49,12964.42
2026-03-24 23:58:00+00:00,2155.48,2155.61,2154.72,2154.99,15915.16
2026-03-24 23:59:00+00:00,2154.99,2155.24,2154.78,2155.16,5885.0
2026-03-25 00:00:00+00:00,2155.16,2156.14,2153.57,2153.94,19581.42
2026-03-25 00:01:00+00:00,2153.94,2155.38,2153.57,2153.94,10394.29
2026-03-25 00:02:00+00:00,2153.94,2155.2,2153.94,2154.99,10798.21
2026-03-25 00:03:00+00:00,2155.0,2155.5,2154.48,2154.97,15952.99
2026-03-25 00:04:00+00:00,2154.98,2156.57,2153.84,2156.27,15541.15
2026-03-25 00:05:00+00:00,2156.27,2156.8,2155.71,2156.04,8477.65
2026-03-25 00:06:00+00:00,2156.04,2157.27,2154.68,2156.82,19956.55
2026-03-25 00:07:00+00:00,2156.82,2157.17,2156.39,2157.0,15230.27
2026-03-25 00:08:00+00:00,2157.0,2158.26,2156.7,2158.03,9461.4
2026-03-25 00:09:00+00:00,2158.03,2158.41,2157.14,2158.41,5628.09
2026-03-25 00:10:00+00:00,2158.41,2159.22,2157.77,2158.84,11429.31
2026-03-25 00:11:00+00:00,2158.85,2159.95,2158.22,2158.49,9881.15
2026-03-25 00:12:00+00:00,2158.49,2159.63,2157.76,2159.39,9087.94
2026-03-25 00:13:00+00:00,2159.39,2159.39,2156.7,2157.57,45396.91
2026-03-25 00:14:00+00:00,2157.57,2159.45,2157.47,2159.13,12397.03
2026-03-25 00:15:00+00:00,2159.13,2159.53,2157.36,2158.0,11062.79
2026-03-25 00:16:00+00:00,2158.0,2158.12,2156.2,2156.2,10707.34
2026-03-25 00:17:00+00:00,2156.21,2156.21,2153.62,2153.81,12114.77
2026-03-25 00:18:00+00:00,2153.82,2154.61,2152.5,2153.65,27051.91
2026-03-25 00:19:00+00:00,2153.64,2154.93,2153.25,2154.06,8143.22
2026-03-25 00:20:00+00:00,2154.06,2155.0,2153.21,2153.54,12136.47
2026-03-25 00:21:00+00:00,2153.55,2153.58,2152.74,2152.95,7418.5
2026-03-25 00:22:00+00:00,2152.95,2153.73,2152.04,2153.73,20760.86
2026-03-25 00:23:00+00:00,2153.72,2154.86,2153.72,2154.52,8685.33
2026-03-25 00:24:00+00:00,2154.52,2154.7,2153.4,2153.41,8272.81
2026-03-25 00:25:00+00:00,2153.4,2154.28,2153.4,2154.0,8011.53
2026-03-25 00:26:00+00:00,2154.0,2155.81,2153.99,2154.09,9700.95
2026-03-25 00:27:00+00:00,2154.1,2156.26,2153.29,2155.72,8928.68
2026-03-25 00:28:00+00:00,2155.71,2156.0,2154.76,2155.05,9298.57
2026-03-25 00:29:00+00:00,2155.05,2155.27,2154.07,2154.07,5420.94
2026-03-25 00:30:00+00:00,2154.06,2154.07,2143.73,2150.0,257457.06
2026-03-25 00:31:00+00:00,2149.99,2154.25,2149.55,2153.79,61080.03
2026-03-25 00:32:00+00:00,2153.8,2155.0,2152.0,2154.99,20135.81
2026-03-25 00:33:00+00:00,2154.99,2159.29,2154.84,2158.17,65712.79
2026-03-25 00:34:00+00:00,2158.18,2161.2,2158.17,2159.0,66556.74
2026-03-25 00:35:00+00:00,2159.0,2161.0,2158.57,2161.0,31528.47
2026-03-25 00:36:00+00:00,2161.0,2161.54,2160.53,2160.92,23447.35
2026-03-25 00:37:00+00:00,2160.91,2163.73,2160.91,2163.31,69485.72
2026-03-25 00:38:00+00:00,2163.3,2164.59,2162.83,2164.28,38305.04
2026-03-25 00:39:00+00:00,2164.29,2165.44,2163.05,2164.07,57105.84
2026-03-25 00:40:00+00:00,2164.07,2165.07,2163.31,2164.01,46724.74
2026-03-25 00:41:00+00:00,2164.01,2165.17,2163.68,2164.5,31438.6
2026-03-25 00:42:00+00:00,2164.51,2167.81,2163.95,2167.15,111826.98
